engine_id,cycle,op1,sensor2,sensor3,sensor4,sensor7,sensor11,sensor12,sensor15,rul
1,79,-0.0004,644.3,1598.08,1405.65,552.87,47.96,519.83,8.5916,173
1,80,0.0,643.89,1592.42,1415.88,553.2,48.33,519.15,8.474,172
1,81,0.0001,644.75,1597.66,1403.5,552.55,48.1,518.48,8.5208,171
1,82,-0.0005,644.53,1594.04,1405.79,552.93,48.76,520.26,8.5183,170
1,83,-0.0002,644.14,1593.65,1408.44,552.6,48.21,517.93,8.5136,169
1,84,-0.0002,643.81,1593.11,1409.25,552.84,48.73,518.78,8.4413,168
1,85,0.0005,644.49,1596.37,1409.87,552.66,48.39,519.04,8.4811,167
1,86,0.0001,644.71,1596.9,1405.33,552.38,48.35,519.01,8.4184,166
1,87,0.0007,645.72,1591.62,1407.83,552.97,48.39,517.99,8.4511,165
1,88,-0.0001,643.81,1593.8,1410.97,553.29,48.4,519.95,8.4769,164
1,89,0.0001,645.17,1593.0,1414.95,553.18,48.42,515.27,8.4808,163
1,90,-0.0002,644.8,1595.28,1407.19,552.73,48.48,520.22,8.5068,162
1,91,0.0007,645.32,1590.77,1405.51,552.37,49.07,518.92,8.5432,161
1,92,0.0005,643.8,1598.61,1409.22,552.91,48.65,518.46,8.4517,160
1,93,-0.0002,644.89,1593.8,1410.05,552.65,48.85,519.67,8.5179,159
1,94,-0.0002,645.18,1594.38,1411.33,552.85,48.46,519.63,8.4905,158
1,95,-0.0004,644.92,1593.4,1408.08,552.58,48.59,517.3,8.5956,157
1,96,0.0003,644.91,1592.7,1406.81,552.16,48.98,519.72,8.57,156
1,97,0.0005,645.57,1595.73,1406.02,552.43,48.61,516.0,8.4864,155
1,98,-0.0005,645.09,1593.74,1405.65,552.14,48.81,518.45,8.6313,154
1,99,0.0001,644.8,1597.88,1407.2,552.83,48.72,518.4,8.5072,153
1,100,0.0006,645.6,1597.15,1413.04,552.34,48.77,516.73,8.5142,152
1,101,0.0001,645.17,1595.15,1409.74,552.04,48.25,518.1,8.4701,151
1,102,0.0003,644.17,1593.88,1415.6,552.63,48.57,518.64,8.6217,150
1,103,-0.0006,645.73,1597.21,1411.29,552.73,48.97,519.42,8.5336,149
1,104,-0.0006,644.93,1593.39,1416.67,552.08,48.64,517.54,8.5591,148
1,105,-0.0005,645.83,1595.23,1413.0,551.46,48.99,519.62,8.5754,147
1,106,-0.0,644.18,1596.17,1412.05,551.63,48.48,519.63,8.5482,146
1,107,0.0001,645.83,1597.74,1401.15,552.46,48.7,519.26,8.5471,145
1,108,-0.0007,645.24,1595.25,1405.61,553.0,48.63,517.55,8.4602,144
1,109,-0.0006,645.42,1592.02,1403.67,552.11,48.86,518.94,8.4587,143
1,110,0.0006,645.63,1594.34,1408.5,552.35,48.47,519.0,8.5506,142
1,111,0.0007,645.3,1596.42,1412.82,552.06,48.92,517.63,8.5214,141
1,112,0.0006,645.32,1597.3,1411.01,551.76,48.92,520.61,8.5677,140
1,113,0.0,645.46,1593.01,1410.08,552.12,48.8,519.02,8.6151,139
1,114,-0.0007,645.78,1591.99,1407.01,552.04,48.47,517.97,8.5388,138
1,115,0.0006,645.02,1598.49,1409.02,552.11,48.95,518.05,8.5523,137
1,116,0.0006,646.02,1600.33,1412.27,552.39,48.88,518.13,8.6387,136
1,117,0.0005,645.22,1595.72,1408.49,551.75,48.93,517.32,8.5639,135
1,118,0.0006,645.49,1598.8,1409.68,552.09,48.84,517.1,8.5992,134
1,119,-0.0004,645.47,1595.59,1407.07,552.05,48.84,518.07,8.6174,133
1,120,-0.0002,645.51,1597.96,1408.01,551.81,49.0,518.34,8.5299,132
1,121,0.0003,645.31,1596.82,1416.26,551.74,48.57,519.2,8.6189,131
1,122,-0.0003,645.46,1598.32,1410.14,552.33,48.94,518.62,8.5393,130
1,123,0.0004,645.48,1596.31,1404.82,551.75,49.17,516.83,8.527,129
1,124,0.0005,646.08,1598.09,1415.6,552.65,48.61,517.3,8.5439,128
1,125,-0.0006,645.71,1594.77,1409.41,551.89,48.83,518.63,8.5619,127
1,126,-0.0007,645.15,1600.48,1415.1,551.97,48.65,517.09,8.5488,126
1,127,0.0002,646.3,1593.82,1411.57,551.83,48.96,516.45,8.5271,125
1,128,0.0007,646.69,1599.12,1414.58,551.9,49.09,516.98,8.5978,124
1,129,-0.0006,645.75,1597.47,1406.42,551.77,49.24,516.9,8.6291,123
1,130,-0.0006,645.99,1596.5,1414.14,551.97,48.82,517.88,8.5866,122
1,131,-0.0005,646.08,1599.26,1415.42,552.22,49.1,517.33,8.5892,121
1,132,0.0004,646.27,1596.89,1418.32,551.94,49.44,518.82,8.6071,120
1,133,-0.0,646.89,1596.7,1416.35,552.04,49.53,517.01,8.5682,119
1,134,0.0003,645.06,1597.3,1414.36,551.85,48.67,516.56,8.5872,118
1,135,-0.0001,645.9,1594.91,1412.76,551.56,49.3,517.1,8.6591,117
1,136,0.0004,646.52,1604.0,1412.44,552.44,49.17,517.26,8.5732,116
1,137,0.0001,646.83,1598.73,1408.81,551.23,48.97,515.03,8.5693,115
1,138,0.0004,646.51,1601.23,1406.93,551.21,49.4,514.67,8.6147,114
1,139,-0.0006,645.79,1597.69,1416.46,551.11,49.49,518.13,8.6112,113
1,140,-0.0003,645.91,1600.13,1410.83,551.59,49.12,515.6,8.6771,112
1,141,-0.0004,646.51,1597.49,1406.03,551.37,49.54,516.59,8.5936,111
1,142,0.0001,645.76,1595.56,1407.33,551.05,49.4,518.65,8.6126,110
1,143,0.0003,646.91,1597.89,1416.7,552.22,49.11,516.67,8.6132,109
1,144,-0.0004,646.15,1598.65,1409.34,551.24,49.51,519.06,8.5971,108
1,145,-0.0007,645.65,1599.34,1405.74,551.57,48.98,517.15,8.6129,107
1,146,-0.0005,646.52,1599.59,1409.76,551.33,49.09,516.92,8.6103,106
1,147,-0.0004,646.58,1598.78,1411.06,551.53,49.34,517.13,8.639,105
1,148,0.0001,647.01,1596.53,1411.03,550.94,49.42,516.63,8.626,104
1,149,-0.0003,646.7,1597.0,1415.13,551.36,49.17,517.68,8.6017,103
1,150,-0.0003,647.06,1595.95,1416.0,551.79,49.57,514.88,8.6732,102
1,151,0.0001,647.15,1603.18,1411.68,551.35,49.03,517.18,8.6851,101
1,152,0.0,646.99,1599.99,1412.84,551.37,49.04,516.68,8.5419,100
1,153,-0.0001,647.49,1599.46,1413.28,551.87,49.24,518.06,8.632,99
1,154,-0.0002,646.9,1598.67,1408.59,551.16,49.22,517.23,8.7449,98
1,155,0.0002,646.77,1600.47,1410.41,551.33,49.17,518.3,8.5766,97
1,156,0.0005,646.8,1597.91,1414.52,551.55,49.19,515.88,8.624,96
1,157,0.0004,647.04,1594.49,1413.8,551.92,49.6,517.1,8.5805,95
1,158,-0.0002,647.07,1599.46,1413.94,550.74,49.43,517.71,8.5898,94
1,159,0.0005,647.38,1600.3,1411.52,551.33,49.13,516.36,8.6626,93
1,160,-0.0,646.72,1596.6,1413.73,550.87,49.23,517.14,8.58,92
1,161,-0.0003,646.66,1599.61,1412.07,550.96,49.72,517.47,8.548,91
1,162,0.0003,645.98,1600.12,1417.07,551.35,49.34,515.77,8.6868,90
1,163,0.0002,646.18,1602.56,1409.23,550.76,49.21,518.57,8.6701,89
1,164,-0.0006,647.51,1596.77,1416.09,551.61,49.6,516.21,8.5705,88
1,165,-0.0004,646.99,1598.46,1407.84,550.9,49.27,516.58,8.6549,87
1,166,0.0004,647.28,1598.93,1410.21,551.44,49.39,516.37,8.6705,86
1,167,-0.0002,646.74,1601.22,1411.91,551.13,49.62,515.67,8.6683,85
1,168,0.0,647.65,1599.12,1412.71,550.68,49.16,515.11,8.6194,84
1,169,0.0,646.91,1601.39,1415.36,550.85,49.82,518.19,8.6586,83
1,170,-0.0001,645.98,1604.2,1416.13,551.1,49.89,515.56,8.681,82
1,171,-0.0004,646.98,1601.84,1416.31,551.0,49.36,518.86,8.7069,81
1,172,-0.0005,646.48,1600.51,1413.9,551.1,49.72,516.14,8.6107,80
1,173,0.0,647.26,1599.86,1413.09,551.02,49.66,516.31,8.6466,79
1,174,0.0005,647.66,1596.74,1418.18,551.25,49.14,515.57,8.6372,78
1,175,-0.0,647.7,1602.87,1412.69,550.37,49.41,516.96,8.6966,77
1,176,0.0002,646.95,1597.63,1416.45,550.65,49.42,516.56,8.6198,76
1,177,0.0005,647.88,1601.58,1419.79,550.53,49.65,513.87,8.6073,75
1,178,-0.0002,647.43,1599.83,1411.59,550.94,49.86,515.02,8.7041,74
1,179,0.0002,647.97,1599.37,1411.22,550.96,49.32,515.22,8.6767,73
1,180,-0.0003,648.64,1599.64,1416.55,551.12,49.72,516.96,8.6952,72
1,181,-0.0002,647.71,1599.01,1414.37,550.65,49.61,516.07,8.7105,71
1,182,-0.0,647.85,1598.64,1408.56,550.86,49.59,516.89,8.6766,70
1,183,-0.0006,647.61,1601.11,1417.5,551.1,49.62,515.94,8.6856,69
1,184,-0.0002,647.39,1601.12,1415.15,550.53,49.9,517.06,8.5769,68
1,185,0.0005,647.63,1599.28,1415.37,550.43,49.71,516.03,8.646,67
1,186,-0.0006,647.28,1600.72,1417.08,550.58,49.82,515.68,8.6377,66
1,187,-0.0005,648.17,1600.78,1422.53,550.78,49.74,514.82,8.6811,65
1,188,0.0001,647.4,1598.66,1414.41,550.72,49.67,515.65,8.7972,64
1,189,-0.0007,648.19,1600.23,1416.51,550.11,49.47,516.27,8.6323,63
1,190,-0.0006,647.97,1603.26,1413.28,550.68,49.39,515.09,8.7147,62
1,191,0.0003,647.29,1600.99,1412.84,550.04,49.9,516.45,8.658,61
1,192,-0.0005,648.04,1601.45,1413.27,550.5,49.96,515.77,8.6427,60
1,193,0.0004,648.22,1601.87,1413.35,550.34,49.84,516.35,8.7599,59
1,194,0.0004,647.55,1604.34,1418.83,550.72,49.34,516.7,8.7111,58
1,195,0.0005,648.42,1602.9,1419.46,550.73,49.77,516.69,8.6553,57
1,196,-0.0002,648.05,1603.79,1418.01,550.33,49.73,515.04,8.6903,56
1,197,-0.0002,648.56,1600.91,1421.61,550.48,49.77,515.09,8.7007,55
1,198,-0.0,648.16,1604.7,1421.0,550.13,49.9,516.44,8.7573,54
1,199,0.0007,648.41,1600.56,1409.48,550.52,49.91,514.76,8.6849,53
1,200,-0.0006,647.51,1602.84,1418.57,550.12,50.06,515.77,8.6647,52
1,201,-0.0,648.47,1599.78,1417.46,549.96,50.01,516.95,8.8048,51
1,202,0.0006,648.6,1600.9,1418.22,550.14,49.43,512.53,8.6828,50
1,203,0.0006,648.72,1604.64,1417.01,550.38,49.79,514.87,8.7612,49
1,204,-0.0,648.21,1599.93,1413.93,549.99,49.51,514.7,8.7625,48
1,205,-0.0005,648.85,1605.97,1412.93,549.96,49.88,515.26,8.7681,47
1,206,0.0001,647.91,1604.28,1415.82,550.44,50.17,515.53,8.7305,46
1,207,-0.0005,647.97,1603.24,1413.22,549.93,49.81,516.72,8.7459,45
1,208,0.0001,648.13,1604.11,1410.26,550.3,50.23,513.72,8.7623,44
1,209,0.0005,647.91,1601.71,1413.81,550.41,50.28,514.76,8.7839,43
1,210,-0.0005,648.14,1602.34,1417.2,550.19,50.26,515.84,8.7205,42
1,211,0.0001,648.92,1603.88,1414.42,550.31,50.3,515.34,8.8321,41
1,212,-0.0006,649.56,1599.75,1414.66,550.53,49.9,514.13,8.6361,40
1,213,-0.0001,648.52,1600.62,1415.92,549.98,49.95,514.17,8.7041,39
1,214,-0.0003,649.08,1600.15,1419.19,550.13,50.21,516.89,8.6551,38
1,215,-0.0005,647.86,1605.09,1425.29,550.15,50.01,514.51,8.7877,37
1,216,-0.0003,648.96,1600.84,1421.17,550.07,50.1,515.17,8.7198,36
1,217,-0.0002,648.28,1603.34,1416.01,550.14,49.95,513.51,8.7767,35
1,218,-0.0005,648.62,1603.23,1420.1,549.7,49.9,514.87,8.7602,34
1,219,0.0,648.54,1602.13,1418.71,549.88,50.25,514.54,8.7173,33
1,220,0.0002,649.11,1606.68,1413.19,550.23,50.21,514.2,8.7918,32
1,221,-0.0007,648.59,1603.45,1415.37,550.13,50.27,514.27,8.7307,31
1,222,-0.0006,648.26,1601.91,1422.55,550.06,50.16,515.3,8.7328,30
1,223,-0.0006,649.04,1604.47,1417.16,549.59,49.86,514.0,8.7169,29
1,224,-0.0001,648.78,1602.84,1422.61,549.9,50.08,514.94,8.7316,28
1,225,0.0007,649.23,1604.86,1421.47,550.51,50.26,516.75,8.7296,27
1,226,-0.0004,650.04,1599.75,1420.12,550.1,49.98,513.83,8.7779,26
1,227,0.0005,648.85,1604.8,1420.29,550.53,50.07,515.25,8.6911,25
1,228,0.0004,648.81,1606.99,1421.27,549.59,50.04,516.14,8.7702,24
1,229,0.0,648.53,1603.11,1415.81,549.68,50.48,514.12,8.8464,23
1,230,-0.0005,649.68,1604.85,1416.83,549.73,49.86,515.27,8.7676,22
1,231,-0.0007,649.21,1602.51,1418.35,549.87,49.72,512.79,8.8952,21
1,232,-0.0,648.93,1600.93,1411.12,550.05,50.7,514.59,8.7968,20
1,233,-0.0003,648.02,1600.69,1417.62,549.33,50.13,515.12,8.7909,19
1,234,0.0005,649.91,1602.76,1419.38,549.63,50.28,514.99,8.7819,18
1,235,-0.0005,650.02,1602.27,1420.28,549.93,50.44,513.03,8.8409,17
1,236,0.0006,648.82,1605.12,1420.59,549.56,50.39,515.24,8.8199,16
1,237,0.0002,649.44,1602.17,1422.17,549.69,49.96,513.24,8.7659,15
1,238,0.0002,650.13,1605.48,1420.4,549.65,50.81,513.8,8.7784,14
1,239,0.0002,649.51,1607.3,1421.24,549.89,49.82,515.63,8.7869,13
1,240,0.0006,649.05,1602.85,1421.5,550.0,50.3,513.87,8.7658,12
1,241,0.0005,649.1,1603.71,1423.08,549.62,50.06,514.47,8.7537,11
1,242,0.0001,648.42,1603.39,1420.5,549.48,50.34,514.55,8.6826,10
1,243,0.0,649.76,1602.11,1419.42,549.67,49.89,514.28,8.826,9
1,244,-0.0006,650.23,1604.44,1423.56,549.6,50.61,512.98,8.8132,8
1,245,-0.0005,649.61,1605.12,1414.74,549.06,50.22,513.44,8.7533,7
1,246,0.0005,649.61,1601.54,1415.76,548.69,50.15,513.86,8.8179,6
1,247,-0.0006,649.12,1605.06,1428.1,548.92,50.31,513.14,8.7904,5
1,248,0.0005,650.2,1602.74,1421.95,550.05,50.44,514.42,8.7886,4
1,249,0.0001,649.87,1602.16,1418.8,549.59,50.58,514.61,8.7636,3
1,250,0.0004,649.16,1608.02,1419.58,549.43,50.43,514.25,8.8316,2
1,251,-0.0005,650.62,1607.76,1418.74,548.75,50.32,513.77,8.8019,1
1,252,-0.0007,650.8,1602.88,1420.69,549.34,50.8,513.58,8.7258,0
2,1,-0.0004,641.56,1592.52,1394.28,555.28,47.69,521.85,8.3215,223
2,2,0.0005,642.03,1590.66,1405.25,554.67,47.46,521.45,8.3766,222
2,3,0.0,642.26,1590.29,1400.81,554.18,47.74,522.5,8.2901,221
2,4,-0.0003,642.17,1592.26,1399.36,554.0,47.39,520.98,8.3738,220
2,5,-0.0007,642.36,1591.07,1399.12,554.38,47.7,522.24,8.3926,219
2,6,0.0005,642.39,1588.57,1401.77,553.98,47.55,519.81,8.2538,218
2,7,-0.0006,641.67,1589.55,1395.54,554.27,47.56,520.59,8.3706,217
2,8,-0.0006,642.57,1589.91,1399.19,553.88,47.42,522.25,8.3084,216
2,9,0.0006,642.56,1589.92,1400.61,553.56,47.72,520.1,8.3451,215
2,10,-0.0002,642.32,1588.66,1402.5,554.14,47.8,523.49,8.2798,214
2,11,0.0002,642.32,1589.45,1404.0,553.82,47.71,521.77,8.3996,213
2,12,-0.0005,643.63,1589.03,1404.34,553.54,47.63,521.57,8.3014,212
2,13,-0.0006,641.87,1592.81,1401.76,554.07,47.58,521.35,8.3923,211
2,14,-0.0003,641.89,1590.09,1399.52,554.27,47.56,522.19,8.3201,210
2,15,0.0005,642.78,1590.43,1403.11,553.99,47.72,520.54,8.2335,209
2,16,0.0002,642.32,1591.82,1399.58,554.06,47.7,520.03,8.4106,208
2,17,-0.0006,642.74,1593.25,1401.7,553.85,47.7,521.65,8.2878,207
2,18,-0.0004,641.31,1588.1,1397.96,554.33,47.65,520.62,8.3863,206
2,19,0.0002,643.02,1590.82,1404.31,553.61,47.41,521.8,8.3832,205
2,20,0.0003,642.08,1593.19,1398.28,554.38,47.59,521.14,8.3592,204
2,21,-0.0003,642.3,1590.78,1402.6,553.59,47.9,520.4,8.3574,203
2,22,-0.0,642.11,1592.73,1395.33,553.85,47.77,521.41,8.369,202
2,23,0.0,642.05,1593.47,1404.8,554.06,47.87,520.86,8.407,201
2,24,-0.0005,642.97,1593.27,1400.52,553.18,47.84,521.79,8.308,200
2,25,0.0007,642.8,1591.86,1402.16,554.25,47.48,519.94,8.3726,199
2,26,0.0003,641.93,1590.05,1402.8,553.94,47.83,520.53,8.3475,198
2,27,-0.0004,642.6,1590.87,1406.86,553.92,47.61,520.94,8.4072,197
2,28,-0.0002,643.39,1589.23,1405.65,553.93,47.8,520.4,8.2927,196
2,29,0.0005,642.7,1591.95,1400.68,554.34,47.54,520.81,8.4879,195
2,30,-0.0006,642.89,1593.39,1401.43,554.35,47.49,520.02,8.3848,194
2,31,-0.0005,642.22,1591.24,1402.08,553.84,47.57,521.02,8.4924,193
2,32,-0.0006,642.28,1592.17,1403.58,553.81,47.78,520.54,8.422,192
2,33,0.0007,642.68,1592.89,1408.96,553.57,48.06,519.19,8.3478,191
2,34,0.0001,643.27,1591.96,1408.32,553.79,47.88,521.07,8.3344,190
2,35,-0.0004,643.51,1591.14,1402.31,553.66,47.85,520.34,8.5051,189
2,36,-0.0005,642.98,1590.59,1399.12,553.15,47.63,520.62,8.4099,188
2,37,0.0006,642.21,1594.19,1401.85,553.77,47.57,521.23,8.344,187
2,38,-0.0004,643.54,1589.19,1404.09,553.58,47.94,518.76,8.506,186
2,39,0.0001,644.02,1592.52,1401.39,553.09,47.95,521.19,8.4027,185
2,40,-0.0,644.0,1593.2,1400.19,553.3,47.8,519.87,8.4335,184
2,41,-0.0006,641.98,1592.84,1405.57,553.57,48.27,519.12,8.4475,183
2,42,-0.0005,643.92,1592.73,1407.51,553.25,47.7,520.85,8.2878,182
2,43,-0.0006,642.81,1590.41,1406.48,553.06,48.18,520.59,8.3317,181
2,44,-0.0002,643.05,1594.37,1406.27,553.24,47.83,521.55,8.3342,180
2,45,0.0002,643.47,1591.1,1402.13,553.51,48.16,521.45,8.455,179
2,46,-0.0003,642.71,1594.72,1407.12,553.34,47.89,517.71,8.4325,178
2,47,0.0006,643.77,1594.62,1403.83,553.85,48.15,520.48,8.4602,177
2,48,-0.0003,643.75,1591.84,1406.51,552.9,47.87,521.0,8.476,176
2,49,0.0001,643.57,1594.32,1401.7,553.15,48.27,520.76,8.4167,175
2,50,0.0005,643.57,1592.93,1406.43,553.48,47.94,520.07,8.4996,174
2,51,0.0007,643.64,1591.79,1407.25,553.35,48.25,519.31,8.3282,173
2,52,-0.0005,644.23,1590.95,1402.21,553.31,48.33,519.15,8.4767,172
2,53,0.0002,644.32,1593.77,1404.22,553.22,47.82,520.18,8.3888,171
2,54,0.0002,643.07,1595.75,1402.82,552.95,48.16,519.03,8.4891,170
2,55,-0.0001,643.23,1595.85,1405.04,552.97,48.24,520.2,8.5006,169
2,56,-0.0004,644.54,1596.49,1404.12,553.02,48.11,519.15,8.3636,168
2,57,0.0007,643.87,1592.0,1405.0,552.81,48.41,520.66,8.3569,167
2,58,-0.0001,643.43,1591.93,1403.79,552.54,48.22,520.54,8.3872,166
2,59,0.0007,643.57,1594.0,1404.23,552.96,48.59,520.89,8.3887,165
2,60,-0.0007,644.38,1596.1,1409.0,552.55,48.46,520.17,8.3791,164
2,61,0.0005,644.27,1594.47,1407.22,552.6,48.5,520.65,8.4467,163
2,62,0.0001,644.01,1593.2,1401.27,552.94,48.4,519.06,8.4814,162
2,63,0.0002,644.06,1593.57,1406.9,552.84,48.29,520.24,8.4408,161
2,64,0.0003,643.3,1594.02,1406.05,553.4,48.59,520.18,8.4162,160
2,65,-0.0006,644.29,1593.58,1404.05,552.7,48.16,518.51,8.4637,159
2,66,0.0003,643.82,1597.35,1409.48,553.01,48.44,517.9,8.4797,158
2,67,0.0002,644.65,1595.96,1404.29,552.88,48.5,519.06,8.5252,157
2,68,-0.0003,645.43,1595.87,1405.86,553.17,48.51,521.37,8.4363,156
2,69,-0.0004,643.98,1597.76,1412.74,552.59,48.28,520.06,8.4567,155
2,70,-0.0003,644.3,1593.01,1406.86,553.04,48.4,519.41,8.4594,154
2,71,-0.0001,643.73,1596.08,1406.1,552.69,48.58,519.46,8.509,153
2,72,-0.0005,644.88,1592.51,1403.68,552.78,48.1,516.94,8.5094,152
2,73,-0.0002,644.67,1595.68,1408.76,552.65,48.42,519.38,8.4892,151
2,74,0.0006,643.35,1596.79,1400.79,552.29,48.46,519.43,8.5295,150
2,75,0.0005,644.71,1595.94,1413.47,552.35,48.57,518.06,8.5172,149
2,76,-0.0004,644.07,1595.01,1412.62,552.58,48.57,518.17,8.4772,148
